"Geslacht";"Type werkenden";"Bedrijfstakken/branches (SBI 2008)";"Perioden";"Werkzame personen (x 1 000)";"Banen (x 1 000)";"Arbeidsjaren (x 1 000)";"Gewerkte uren (mln uren)"
"Totaal mannen en vrouwen";"Totaal";"A-U Alle economische activiteiten";"2008";"    8915";"    9876";"    7148";"   12736"
"Totaal mannen en vrouwen";"Totaal";"A-U Alle economische activiteiten";"2009";"    8839";"    9814";"    7066";"   12552"
"Totaal mannen en vrouwen";"Totaal";"A-U Alle economische activiteiten";"2010";"    8779";"    9782";"    7025";"   12463"
"Totaal mannen en vrouwen";"Totaal";"A-U Alle economische activiteiten";"2011";"    8855";"    9918";"    7066";"   12576"
"Totaal mannen en vrouwen";"Totaal";"A-U Alle economische activiteiten";"2012";"    8837";"    9889";"    7023";"   12465"
"Totaal mannen en vrouwen";"Totaal";"A-U Alle economische activiteiten";"2013";"    8733";"    9756";"    6937";"   12355"
"Totaal mannen en vrouwen";"Totaal";"A-U Alle economische activiteiten";"2014";"    8725";"    9757";"    6927";"   12438"
"Totaal mannen en vrouwen";"Totaal";"A-U Alle economische activiteiten";"2015";"    8808";"    9881";"    7015";"   12559"
"Totaal mannen en vrouwen";"Totaal";"A-U Alle economische activiteiten";"2016";"    8943";"   10036";"    7159";"   12854"
"Totaal mannen en vrouwen";"Totaal";"A-U Alle economische activiteiten";"2017*";"    9142";"   10250";"    7315";"   13115"
"Totaal mannen en vrouwen";"Totaal";"A-U Alle economische activiteiten";"2018*";"    9367";"   10502";"    7508";"   13408"
"Totaal mannen en vrouwen";"Totaal";"A Landbouw, bosbouw en visserij";"2008";"     209";"     255";"     173";"     392"
"Totaal mannen en vrouwen";"Totaal";"A Landbouw, bosbouw en visserij";"2009";"     205";"     250";"     171";"     389"
"Totaal mannen en vrouwen";"Totaal";"A Landbouw, bosbouw en visserij";"2010";"     203";"     248";"     168";"     383"
"Totaal mannen en vrouwen";"Totaal";"A Landbouw, bosbouw en visserij";"2011";"     201";"     250";"     167";"     380"
"Totaal mannen en vrouwen";"Totaal";"A Landbouw, bosbouw en visserij";"2012";"     199";"     246";"     164";"     374"
"Totaal mannen en vrouwen";"Totaal";"A Landbouw, bosbouw en visserij";"2013";"     196";"     241";"     166";"     373"
"Totaal mannen en vrouwen";"Totaal";"A Landbouw, bosbouw en visserij";"2014";"     195";"     241";"     164";"     376"
"Totaal mannen en vrouwen";"Totaal";"A Landbouw, bosbouw en visserij";"2015";"     194";"     240";"     162";"     372"
"Totaal mannen en vrouwen";"Totaal";"A Landbouw, bosbouw en visserij";"2016";"     196";"     244";"     166";"     383"
"Totaal mannen en vrouwen";"Totaal";"A Landbouw, bosbouw en visserij";"2017*";"     199";"     247";"     169";"     389"
"Totaal mannen en vrouwen";"Totaal";"A Landbouw, bosbouw en visserij";"2018*";"     201";"     250";"     172";"     394"
"Totaal mannen en vrouwen";"Totaal";"B Delfstoffenwinning";"2008";"       8";"       9";"       8";"      15"
"Totaal mannen en vrouwen";"Totaal";"B Delfstoffenwinning";"2009";"       9";"       9";"       8";"      15"
"Totaal mannen en vrouwen";"Totaal";"B Delfstoffenwinning";"2010";"       9";"       9";"       8";"      15"
"Totaal mannen en vrouwen";"Totaal";"B Delfstoffenwinning";"2011";"       9";"       9";"       9";"      16"
"Totaal mannen en vrouwen";"Totaal";"B Delfstoffenwinning";"2012";"       9";"       9";"       9";"      16"
"Totaal mannen en vrouwen";"Totaal";"B Delfstoffenwinning";"2013";"      10";"      10";"      10";"      18"
"Totaal mannen en vrouwen";"Totaal";"B Delfstoffenwinning";"2014";"      11";"      11";"      10";"      20"
"Totaal mannen en vrouwen";"Totaal";"B Delfstoffenwinning";"2015";"      11";"      11";"      10";"      20"
"Totaal mannen en vrouwen";"Totaal";"B Delfstoffenwinning";"2016";"      10";"      10";"      10";"      19"
"Totaal mannen en vrouwen";"Totaal";"B Delfstoffenwinning";"2017*";"       8";"       9";"       8";"      16"
"Totaal mannen en vrouwen";"Totaal";"B Delfstoffenwinning";"2018*";"       8";"       8";"       8";"      15"
"Totaal mannen en vrouwen";"Totaal";"B-E Nijverheid (geen bouw) en energie";"2008";"     906";"     935";"     834";"    1480"
"Totaal mannen en vrouwen";"Totaal";"B-E Nijverheid (geen bouw) en energie";"2009";"     883";"     912";"     812";"    1418"
"Totaal mannen en vrouwen";"Totaal";"B-E Nijverheid (geen bouw) en energie";"2010";"     861";"     891";"     793";"    1405"
"Totaal mannen en vrouwen";"Totaal";"B-E Nijverheid (geen bouw) en energie";"2011";"     856";"     886";"     784";"    1400"
"Totaal mannen en vrouwen";"Totaal";"B-E Nijverheid (geen bouw) en energie";"2012";"     846";"     877";"     776";"    1378"
"Totaal mannen en vrouwen";"Totaal";"B-E Nijverheid (geen bouw) en energie";"2013";"     834";"     864";"     766";"    1372"
"Totaal mannen en vrouwen";"Totaal";"B-E Nijverheid (geen bouw) en energie";"2014";"     829";"     860";"     760";"    1373"
"Totaal mannen en vrouwen";"Totaal";"B-E Nijverheid (geen bouw) en energie";"2015";"     831";"     862";"     764";"    1369"
"Totaal mannen en vrouwen";"Totaal";"B-E Nijverheid (geen bouw) en energie";"2016";"     833";"     865";"     768";"    1380"
"Totaal mannen en vrouwen";"Totaal";"B-E Nijverheid (geen bouw) en energie";"2017*";"     840";"     871";"     775";"    1385"
"Totaal mannen en vrouwen";"Totaal";"B-E Nijverheid (geen bouw) en energie";"2018*";"     856";"     889";"     790";"    1407"
"Totaal mannen en vrouwen";"Totaal";"C Industrie";"2008";"     841";"     868";"     772";"    1368"
"Totaal mannen en vrouwen";"Totaal";"C Industrie";"2009";"     817";"     844";"     750";"    1304"
"Totaal mannen en vrouwen";"Totaal";"C Industrie";"2010";"     793";"     822";"     729";"    1289"
"Totaal mannen en vrouwen";"Totaal";"C Industrie";"2011";"     787";"     815";"     719";"    1283"
"Totaal mannen en vrouwen";"Totaal";"C Industrie";"2012";"     778";"     807";"     712";"    1263"
"Totaal mannen en vrouwen";"Totaal";"C Industrie";"2013";"     764";"     793";"     700";"    1252"
"Totaal mannen en vrouwen";"Totaal";"C Industrie";"2014";"     759";"     788";"     694";"    1251"
"Totaal mannen en vrouwen";"Totaal";"C Industrie";"2015";"     760";"     790";"     698";"    1248"
